dataset,scenario,seed,model,rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,trace_sha256
ciciot2023,stationary,23,MedRF,20000,0.985,0.8571428571428572,0.9844155844155844,1.0,0.9921465968586387,0.9999992963940194,0.9999999610228766,750,300,0,18950,01a9fa0f8625fc8cbb3081363dbd136fe1b70ca5664e0971185d2e253d257f66
ciciot2023,stationary,23,HeavyMLP,20000,0.988,0.8857142857142857,0.9874934861907243,1.0,0.9937073938122706,0.9999984922728985,0.9999999165495282,810,240,0,18950,01a9fa0f8625fc8cbb3081363dbd136fe1b70ca5664e0971185d2e253d257f66
ciciot2023,stationary,37,TinyDT,20000,0.9836,0.8393731635651323,0.9830113430362045,1.0,0.9914328997544795,0.9999990968934735,0.9999999167398235,693,328,0,18979,986f8b6e142a4415030e669b6e01e4440e7169ea059489ee50973fc6378607f4
ciciot2023,stationary,37,LightLR,20000,0.97945,0.7987267384916747,0.9788035069623517,1.0,0.9892882274753055,0.9999854986894892,0.9999992297178486,610,411,0,18979,986f8b6e142a4415030e669b6e01e4440e7169ea059489ee50973fc6378607f4
ciciot2023,stationary,37,MedRF,20000,0.98545,0.8574926542605289,0.9848988064348728,1.0,0.9923919579596853,0.9999928267538754,0.9999996138754845,730,291,0,18979,986f8b6e142a4415030e669b6e01e4440e7169ea059489ee50973fc6378607f4
ciciot2023,stationary,37,HeavyMLP,20000,0.9875,0.8775710088148874,0.9869988038899579,1.0,0.9934568676716918,0.9999963617708505,0.9999998028356696,771,250,0,18979,986f8b6e142a4415030e669b6e01e4440e7169ea059489ee50973fc6378607f4
ciciot2023,stationary,53,TinyDT,20000,0.9821,0.8267182962245886,0.9814747736093143,1.0,0.9906507886764859,0.9999998468833958,0.9999999833242539,675,358,0,18967,9155e35b65975a09b76c08832e7c95ee0810fa208d067013a338108344eb7657
ciciot2023,stationary,53,LightLR,20000,0.97745,0.7817037754114231,0.9767741270985684,1.0,0.9882506187312753,0.9999992854558467,0.9999999610869948,582,451,0,18967,9155e35b65975a09b76c08832e7c95ee0810fa208d067013a338108344eb7657
ciciot2023,stationary,53,MedRF,20000,0.9838,0.8431752178121975,0.9832046031828314,1.0,0.9915311830205448,0.9999942836467741,0.9999996883875452,709,324,0,18967,9155e35b65975a09b76c08832e7c95ee0810fa208d067013a338108344eb7657
ciciot2023,stationary,53,HeavyMLP,20000,0.9869,0.8731848983543078,0.9863747464766759,1.0,0.993140642999267,0.9999998979222637,0.9999999944411249,771,262,0,18967,9155e35b65975a09b76c08832e7c95ee0810fa208d067013a338108344eb7657
ciciot2023,stationary,71,TinyDT,20000,0.98265,0.8326904532304725,0.9820300362506473,1.0,0.990933556292948,0.9999828372065563,0.9999990681722921,690,347,0,18963,2fb21c6377ef14c06adcd334613802e6f0071ffdd6f0b631f5d62aa92bb01f23
ciciot2023,stationary,71,LightLR,20000,0.97805,0.7883317261330762,0.9773734666529224,1.0,0.988557278769712,0.9999843373618352,0.9999991540556835,598,439,0,18963,2fb21c6377ef14c06adcd334613802e6f0071ffdd6f0b631f5d62aa92bb01f23
ciciot2023,stationary,71,MedRF,20000,0.98515,0.8567984570877532,0.9845794392523365,1.0,0.9922298092771368,0.9999995423255081,0.9999999749762674,740,297,0,18963,2fb21c6377ef14c06adcd334613802e6f0071ffdd6f0b631f5d62aa92bb01f23
ciciot2023,stationary,71,HeavyMLP,20000,0.9868,0.8727097396335584,0.9862693087845218,1.0,0.9930871956009426,0.9999987286819672,0.9999999305617769,773,264,0,18963,2fb21c6377ef14c06adcd334613802e6f0071ffdd6f0b631f5d62aa92bb01f23
ciciot2023,stationary,89,TinyDT,20000,0.98145,0.8276022304832713,0.9807722207825862,1.0,0.9902927863104738,0.999981927317959,0.9999989800102955,705,371,0,18924,4f616f7a50bba3537eb6326fb65a6fa2832c2de791755bfbd9fb42fe676d43e3
ciciot2023,stationary,89,LightLR,20000,0.9775,0.7908921933085502,0.9767729947352122,1.0,0.9882500391665361,0.999979962895998,0.9999988732473561,626,450,0,18924,4f616f7a50bba3537eb6326fb65a6fa2832c2de791755bfbd9fb42fe676d43e3
ciciot2023,stationary,89,MedRF,20000,0.9842,0.8531598513011153,0.9835758835758835,1.0,0.9917199454983754,0.9999979864674899,0.9999998854952337,760,316,0,18924,4f616f7a50bba3537eb6326fb65a6fa2832c2de791755bfbd9fb42fe676d43e3
